Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,Dividend Indicated Yield
Dates,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD
17/05/2019,5.7942,5.6633,4.0947,6.0133,3.1025,2.4102,3.6301,6.3572,5.7866,1.9863,0.39,1.7401,2.5763,#N/A N/A,#N/A N/A,#N/A N/A,5.4624
24/05/2019,5.9084,5.7829,4.3548,5.9704,3.0473,2.4871,3.5025,6.2487,5.7972,1.986,0.3894,1.7246,2.5758,#N/A N/A,#N/A N/A,#N/A N/A,5.512
31/05/2019,5.9708,5.83,4.3525,6.1028,3.0766,2.5486,3.6562,6.4738,5.9712,1.9997,0.3891,1.7179,2.5771,#N/A N/A,#N/A N/A,#N/A N/A,5.6019
07/06/2019,5.8241,5.7064,4.3029,6.0484,3.0284,2.5153,3.538,6.3158,5.7528,1.9519,0.3883,1.6945,2.5143,#N/A N/A,#N/A N/A,#N/A N/A,5.4624
14/06/2019,5.8426,5.843,4.3624,6.098,2.9921,2.5713,3.4315,6.2392,5.6803,1.9453,0.3888,1.7074,2.5311,#N/A N/A,#N/A N/A,#N/A N/A,5.4511
21/06/2019,5.6866,5.6613,4.3712,6.0605,3.0317,2.4377,3.3438,6.2709,5.5885,1.9675,0.3888,1.6638,2.5159,#N/A N/A,#N/A N/A,#N/A N/A,5.2924
28/06/2019,5.712,5.7397,4.3391,5.9931,3.0404,2.5452,3.3127,6.2701,5.664,1.9651,0.3888,1.6702,2.5151,#N/A N/A,#N/A N/A,#N/A N/A,5.3429
05/07/2019,5.6822,5.8042,4.1343,5.8541,2.9497,2.4315,3.2675,6.0402,5.5427,1.9408,0.4608,1.6492,2.4854,#N/A N/A,#N/A N/A,#N/A N/A,5.2574
12/07/2019,5.6778,5.767,4.1349,5.9344,2.9745,2.3833,3.3724,6.0878,5.6458,1.9611,0.4625,1.6659,2.4946,#N/A N/A,#N/A N/A,#N/A N/A,5.29
19/07/2019,5.7873,6.0823,4.1768,5.9407,2.9697,2.4213,3.3375,6.0043,5.6708,1.9634,0.4615,1.3073,2.4785,#N/A N/A,#N/A N/A,#N/A N/A,5.288
26/07/2019,5.7669,6.0207,4.0605,5.9434,3.1541,2.5531,3.1481,5.8639,5.5931,2.0635,0.4611,1.3053,2.4617,#N/A N/A,#N/A N/A,#N/A N/A,5.2527
02/08/2019,6.4578,6.4111,4.5704,6.0933,3.1283,2.6144,3.0024,5.8459,5.5265,1.9916,0.4601,1.2871,2.449,#N/A N/A,#N/A N/A,#N/A N/A,5.358
09/08/2019,6.5408,6.717,4.8692,6.3915,3.17,2.6444,2.9571,5.9201,5.5707,2.0257,0.4601,1.2717,2.4389,#N/A N/A,#N/A N/A,#N/A N/A,5.4362
16/08/2019,6.8285,6.891,5.0064,6.6569,3.0836,2.6701,2.9958,5.9623,5.5194,1.9864,0.4607,1.2398,2.4318,#N/A N/A,#N/A N/A,#N/A N/A,5.5149
23/08/2019,6.8481,6.9221,5.071,6.7795,3.0842,2.714,2.9724,5.8452,5.5498,2.0061,0.4605,1.2537,2.4453,#N/A N/A,#N/A N/A,#N/A N/A,5.5236
30/08/2019,6.821,6.7533,5.1245,6.7222,2.9738,2.6323,2.9704,5.7756,5.5143,1.9572,0.4602,1.2381,2.4277,#N/A N/A,#N/A N/A,#N/A N/A,5.465
06/09/2019,6.8693,6.7425,4.9964,6.6148,2.9773,2.4817,2.9962,5.7634,5.629,1.9827,0.4598,1.2396,2.4024,#N/A N/A,#N/A N/A,#N/A N/A,5.3827
13/09/2019,6.8001,6.697,4.4694,6.3033,3.1467,2.4002,3.1664,6.0277,5.7139,2.0902,0.4621,1.275,2.457,#N/A N/A,#N/A N/A,#N/A N/A,5.3173
20/09/2019,6.6231,6.4837,4.6192,6.4579,3.2225,2.3892,3.033,5.9138,5.5596,2.1282,0.4613,1.5145,2.4233,#N/A N/A,#N/A N/A,#N/A N/A,5.2504
27/09/2019,6.4444,6.5049,4.6382,6.3679,3.1423,2.3599,2.9442,5.7307,5.3613,2.0782,0.4597,1.4959,2.4133,#N/A N/A,#N/A N/A,#N/A N/A,5.2653
04/10/2019,6.6931,6.8256,4.8972,6.6865,3.2182,2.8457,3.1062,5.8184,5.4408,2.0851,0.4593,1.4873,2.4246,#N/A N/A,#N/A N/A,#N/A N/A,5.454
11/10/2019,6.7764,6.8443,4.3619,6.6259,3.3252,2.787,3.143,5.9018,5.3096,2.1361,0.4617,1.541,2.4588,#N/A N/A,#N/A N/A,#N/A N/A,5.3757
18/10/2019,6.9291,6.9642,4.2424,6.6898,3.2441,2.7664,3.2099,6.005,5.26,2.2002,0.4615,1.2274,2.4428,#N/A N/A,#N/A N/A,#N/A N/A,5.4415
25/10/2019,6.6744,6.5976,4.1089,6.5186,3.2403,2.8172,2.9442,5.815,5.2373,2.1971,0.461,1.2212,2.4266,#N/A N/A,#N/A N/A,#N/A N/A,5.3251
01/11/2019,6.458,6.4358,4.1871,6.8353,3.254,2.8373,2.9119,5.6135,5.2577,2.1741,0.4611,1.2228,2.4201,#N/A N/A,#N/A N/A,#N/A N/A,5.3284
08/11/2019,6.2359,6.2903,4.2057,6.7572,3.2101,2.8373,2.9871,5.6911,5.3197,2.2191,0.4616,1.2445,2.4436,#N/A N/A,#N/A N/A,#N/A N/A,5.2786
15/11/2019,6.325,6.2866,4.0998,7.0152,3.2853,2.8871,2.9991,5.8156,5.3435,2.2144,0.4615,1.2623,2.4364,#N/A N/A,#N/A N/A,#N/A N/A,5.3111
22/11/2019,6.3985,6.4113,4.1356,6.9414,3.3228,2.902,2.9303,5.7681,5.3233,2.1981,0.4613,1.262,2.4349,#N/A N/A,#N/A N/A,#N/A N/A,5.2915
29/11/2019,6.6025,6.6623,4.0807,6.9835,3.2781,2.9425,2.9146,5.6359,5.376,2.1665,0.4615,1.2543,2.4235,#N/A N/A,#N/A N/A,#N/A N/A,5.2713
