Start Date,07/01/2019,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
24/05/2019,11.1337,14.0879,7.6153,12.4421,15.0411,17.6805,40.745,16.1446,18.4937,26.5645,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.8824,#N/A N/A
31/05/2019,10.9428,13.8795,7.6194,12.0899,14.8541,17.2537,38.768,15.5833,17.9547,26.2036,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.6654,#N/A N/A
07/06/2019,11.3242,14.3138,7.7071,12.3136,14.9937,17.4824,40.4415,15.9732,18.6364,27.0987,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.9856,#N/A N/A
14/06/2019,11.1546,13.8136,7.602,12.0686,15.1707,17.1013,41.2022,16.1691,18.8742,26.8681,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.0854,#N/A N/A
21/06/2019,11.5607,14.3815,7.5867,12.2494,14.9274,18.0387,42.652,16.0875,19.1845,26.7975,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.2012,#N/A N/A
28/06/2019,13.1156,15.8068,8.1413,12.2637,14.6811,17.2766,47.5177,14.2082,18.9286,25.4662,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.2359,#N/A N/A
05/07/2019,12.9934,15.4045,8.5446,12.373,15.0993,18.0844,47.4763,14.7489,19.343,25.4123,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.3672,#N/A N/A
12/07/2019,13.0616,15.5733,8.5435,12.2602,14.9752,18.4502,46.2056,14.6336,18.9897,25.2616,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.3446,#N/A N/A
19/07/2019,12.749,14.6909,8.4576,12.1849,14.9746,18.1606,46.4501,14.8372,18.9059,25.1033,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.3524,#N/A N/A
26/07/2019,12.6714,14.6988,8.7,12.0625,14.6389,17.2232,49.712,15.1923,19.1686,24.3926,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.3976,#N/A N/A
02/08/2019,11.7241,14.525,8.3239,11.5405,14.4879,16.8193,51.1262,15.2392,19.3996,24.7897,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.2013,#N/A N/A
09/08/2019,11.5048,13.779,7.813,11.0423,14.0872,16.6288,51.5938,15.0481,19.2456,24.2237,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.9484,#N/A N/A
16/08/2019,11.0966,13.5244,7.5989,10.6758,14.7375,16.4688,51.2814,14.9418,19.4245,24.875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.9192,#N/A N/A
23/08/2019,11.1668,13.5878,7.5022,10.5793,14.8089,16.7774,52.1604,15.241,19.3181,24.8569,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.8937,#N/A N/A
30/08/2019,11.118,13.8117,7.4239,10.5808,15.4403,17.2983,51.7621,15.4248,19.4427,25.2669,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1188,#N/A N/A
06/09/2019,11.1514,13.9736,7.6141,10.8613,15.5121,18.3478,51.8353,15.4573,19.0463,25.1945,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.2974,#N/A N/A
13/09/2019,11.4281,14.2723,8.512,11.5631,14.8342,18.9713,49.7593,14.7796,18.7632,24.244,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.467,#N/A N/A
20/09/2019,11.7504,14.7632,8.2359,11.3026,14.5971,19.0581,52.0233,15.0643,19.2841,23.846,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.4219,#N/A N/A
27/09/2019,11.908,14.51,8.2022,11.3026,14.8464,19.2948,52.8443,15.5456,19.9975,24.0793,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.5803,#N/A N/A
04/10/2019,11.3456,25.8106,13.4849,11.595,14.4645,18.7187,53.589,14.8804,20.3506,24.0341,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.044,#N/A N/A
11/10/2019,11.5134,26.4458,15.1396,12.0218,14.2956,19.1133,54.413,14.6702,20.8535,24.1035,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.2366,#N/A N/A
18/10/2019,11.4933,26.53,15.566,12.1542,14.3872,19.2554,54.3863,14.418,21.0499,23.8873,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.0474,#N/A N/A
25/10/2019,11.8287,27.7615,16.0717,12.3654,14.3878,18.9081,58.7797,14.8892,21.1411,23.7146,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.3903,#N/A N/A
01/11/2019,11.6048,27.2038,15.7717,11.902,14.3463,18.774,59.9843,15.4234,21.0593,24.1878,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.3586,#N/A N/A
08/11/2019,11.8648,27.4782,15.7019,11.8859,14.5418,18.774,57.7279,15.2132,20.8137,23.3948,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.508,#N/A N/A
15/11/2019,11.823,27.7893,16.1075,11.5717,14.3172,18.4504,58.1146,14.8874,20.9353,23.6955,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.4754,#N/A N/A
22/11/2019,11.6139,27.0777,15.9679,11.6214,14.1052,18.3557,59.1044,15.0101,21.0148,23.7217,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.5256,#N/A N/A
29/11/2019,11.3463,26.2688,16.183,11.6449,14.4237,18.1032,59.9049,15.3621,20.809,24.2628,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.5628,#N/A N/A
06/12/2019,11.3663,26.2827,15.9811,11.5304,14.5101,18.332,59.2045,15.1467,20.8768,24.1378,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.3536,#N/A N/A
13/12/2019,11.3792,26.0607,17.2151,11.9607,14.6188,19.8314,59.7173,15.1081,21.7071,24.0942,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.5792,#N/A N/A
20/12/2019,11.5329,26.7167,16.8321,12.2113,13.7872,19.8788,63.1478,15.8806,22.5,24.6228,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.0561,#N/A N/A
27/12/2019,11.7707,26.8035,17.1226,12.2297,13.8749,20.2023,62.9846,15.9297,22.4837,25.0616,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.1801,#N/A N/A
03/01/2020,15.3484,32.4931,12.5548,25.9317,22.6181,20.1313,97.8423,15.3787,22.2381,25.4133,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.8116,#N/A N/A
10/01/2020,15.0846,32.5073,12.3973,25.4535,22.4014,19.6815,96.9505,15.4908,21.8685,25.8042,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.7828,#N/A N/A
