Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
05/07/2019,2586,542.5,157.22,672.5,5409.67,300.58,6527,1655.566,792.523,3426.5,133.7,24.015,149.725,2188,7553.14,0.738,33.305
12/07/2019,2588,546,157.2,663.4,5364.634,306.66,6324,1642.618,778.048,3391,133.22,23.775,149.17,2200,7505.97,0.835,33.1
19/07/2019,2539,517.7,155.62,662.7,5373.213,301.847,6390,1665.48,774.614,3387,133.51,24.0725,150.14,2239,7508.7,0.734,33.1125
26/07/2019,2548,523,160.08,662.4,5253.117,286.267,6905,1705.336,785.378,3323,133.625,24.10875,151.165,2245,7549.06,0.687,33.335
02/08/2019,2403.5,526.9,153.16,646.1,5296.544,279.553,7240,1710.597,794.843,3443,133.9,24.44875,151.95,2333.75,7407.06,0.55,32.68
09/08/2019,2373,502.9,143.76,622,5226.846,276.387,7351,1689.151,788.533,3385,133.92,24.74625,152.58,2440.5,7253.85,0.484,32.21
16/08/2019,2273,490.2,139.82,597.2,5373.213,273.727,7256,1677.214,795.863,3452,133.74,25.1525,153.02,2433.75,7117.15,0.466,31.75
23/08/2019,2266.5,488,138.04,586.4,5372.14,269.293,7313,1710.799,791.502,3418,133.8,24.87375,152.175,2435,7094.98,0.481,31.7
30/08/2019,2275.5,500.2,136.6,591.4,5571.585,277.653,7318,1731.435,796.606,3503.5,133.88,25.18625,153.28,2459.75,7207.18,0.479,32.04
06/09/2019,2259.5,501,140.1,601,5565.151,294.5,7255,1735.077,780.367,3458.5,134,25.155,153.1,2420,7282.34,0.506,32.53
13/09/2019,2282.5,504.4,156.62,630.7,5265.448,304.507,6865,1659.006,768.768,3280.5,133.315,24.4575,149.7,2349.25,7367.46,0.762,32.93
20/09/2019,2343.5,521,151.54,615.6,5141.599,305.9,7167,1690.972,790.11,3222,133.55,24.9925,151.78,2355.5,7344.92,0.628,32.815
